id,ip,recorded_timestamp,date,time,ping,players_online,online
356,og-network.net,2023-08-19 06:00:33,2023-08-19,"06:00:33",86,64,1
357,mineplex.com,2023-08-19 06:00:45,2023-08-19,"06:00:45",15,,"0"
358,mc.ltt.gg,2023-08-19 06:01:08,2023-08-19,"06:01:08",,,"0"
359,purpleprison.net,2023-08-19 06:01:08,2023-08-19,"06:01:08",107,708,1
361,hypixel.net,2023-08-19 06:11:15,2023-08-19,"06:11:15",136,43906,1
362,minemen.club,2023-08-19 06:11:15,2023-08-19,"06:11:15",90,1237,1
363,mc.minehut.com,2023-08-19 06:11:15,2023-08-19,"06:11:15",159,8478,1
364,og-network.net,2023-08-19 06:11:16,2023-08-19,"06:11:16",85,67,1
365,mineplex.com,2023-08-19 06:11:28,2023-08-19,"06:11:28",15,,"0"
366,mc.ltt.gg,2023-08-19 06:11:55,2023-08-19,"06:11:55",,,"0"
367,purpleprison.net,2023-08-19 06:11:56,2023-08-19,"06:11:56",97,690,1
369,hypixel.net,2023-08-19 06:22:01,2023-08-19,"06:22:01",149,44612,1
